source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,event_id,old_source_mat_id
EMOBON_EMT21_Wa_2,EMOBON00032,,ERS20569031,ERX13355353,,ERR13954258,,PRJEB51653,PRJEB51688,SAMEA115828514,EMT21_Wa_210825,EMOBON_EMT21_Wa_210825_3um_2
EMOBON_ESC68N_Wa_3,EMOBON00005,,ERS20569059,ERX13355163,,ERR13954068,,PRJEB51654,PRJEB51688,SAMEA115828542,ESC68N_Wa_210830,EMOBON_ESC68N_Wa_210830_0.2um_1
EMOBON_ESC68N_Wa_4,EMOBON00006,,ERS20569060,ERX13355164,,ERR13954069,,PRJEB51654,PRJEB51688,SAMEA115828543,ESC68N_Wa_210830,EMOBON_ESC68N_Wa_210830_0.2um_2
EMOBON_ESC68N_Wa_1,EMOBON00003,,ERS20569057,ERX13355161,,ERR13954066,,PRJEB51654,PRJEB51688,SAMEA115828540,ESC68N_Wa_210830,EMOBON_ESC68N_Wa_210830_3um_1
EMOBON_ESC68N_Wa_2,EMOBON00004,,ERS20569058,ERX13355162,,ERR13954067,,PRJEB51654,PRJEB51688,SAMEA115828541,ESC68N_Wa_210830,EMOBON_ESC68N_Wa_210830_3um_2
EMOBON_HCMR-1_Wa_5,EMOBON00071,,ERS20568986,ERX13355375,,ERR13954280,,PRJEB51655,PRJEB51688,SAMEA115828469,HCMR-1_Wa_210628,EMOBON_HCMR-1_Wa_210628_0.2um_1
EMOBON_HCMR-1_Wa_6,EMOBON00072,,ERS20568987,ERX13355376,,ERR13954281,,PRJEB51655,PRJEB51688,SAMEA115828470,HCMR-1_Wa_210628,EMOBON_HCMR-1_Wa_210628_0.2um_2
EMOBON_HCMR-1_Wa_1,EMOBON00068,,ERS20568985,ERX13355374,,ERR13954279,,PRJEB51655,PRJEB51688,SAMEA115828468,HCMR-1_Wa_210628,EMOBON_HCMR-1_Wa_210628_3um_1
EMOBON_HCMR-1_Wa_23,EMOBON00079,,ERS20568989,ERX13355378,,ERR13954283,,PRJEB51655,PRJEB51688,SAMEA115828472,HCMR-1_Wa_210917,EMOBON_HCMR-1_Wa_210917_0.2um_blank
EMOBON_HCMR-1_Wa_21,EMOBON00076,,ERS20568988,ERX13355377,,ERR13954282,,PRJEB51655,PRJEB51688,SAMEA115828471,HCMR-1_Wa_210917,EMOBON_HCMR-1_Wa_210917_3um_blank
EMOBON_IUIEilat_Wa_1,EMOBON00080,,ERS20568973,ERX13355368,,ERR13954273,,PRJEB51656,PRJEB51688,SAMEA115828456,IUIEilat1_Wa_210829,EMOBON_IUIEilat1_Wa_210829_0.2um_1
EMOBON_IUIEilat_Wa_2,EMOBON00081,,ERS20568974,ERX13355369,,ERR13954274,,PRJEB51656,PRJEB51688,SAMEA115828457,IUIEilat1_Wa_210829,EMOBON_IUIEilat1_Wa_210829_0.2um_2
EMOBON_IUIEilat_Wa_5,EMOBON00082,,ERS20568975,ERX13355370,,ERR13954275,,PRJEB51656,PRJEB51688,SAMEA115828458,IUIEilat1_Wa_210829,EMOBON_IUIEilat1_Wa_210829_3um_1
EMOBON_IUIEilat_Wa_6,EMOBON00083,,ERS20568976,ERX13355371,,ERR13954276,,PRJEB51656,PRJEB51688,SAMEA115828459,IUIEilat1_Wa_210829,EMOBON_IUIEilat1_Wa_210829_3um_2
EMOBON_NRMCB_Wa_1,EMOBON00056,,ERS20568957,ERX13355947,,ERR13954852,,PRJEB51658,PRJEB51688,SAMEA115828440,NRMCB_Wa_210621,EMOBON_NRMCB_Wa_210621_3um_1
EMOBON_NRMCB_Wa_2,EMOBON00057,,ERS20568958,ERX13355948,,ERR13954853,,PRJEB51658,PRJEB51688,SAMEA115828441,NRMCB_Wa_210621,EMOBON_NRMCB_Wa_210621_3um_2
EMOBON_NRMCB_Wa_28,EMOBON00065,,ERS20568962,ERX13355952,,ERR13954857,,PRJEB51658,PRJEB51688,SAMEA115828445,NRMCB_Wa_210831,EMOBON_NRMCB_Wa_210831_0.2um_1
EMOBON_NRMCB_Wa_29,EMOBON00066,,ERS20568963,ERX13355953,,ERR13954858,,PRJEB51658,PRJEB51688,SAMEA115828446,NRMCB_Wa_210831,EMOBON_NRMCB_Wa_210831_0.2um_2
EMOBON_NRMCB_Wa_32,EMOBON00067,,ERS20568964,ERX13355954,,ERR13954859,,PRJEB51658,PRJEB51688,SAMEA115828447,NRMCB_Wa_210831,EMOBON_NRMCB_Wa_210831_0.2um_blank
EMOBON_NRMCB_Wa_23,EMOBON00062,,ERS20568959,ERX13355949,,ERR13954854,,PRJEB51658,PRJEB51688,SAMEA115828442,NRMCB_Wa_210831,EMOBON_NRMCB_Wa_210831_3um_1
EMOBON_NRMCB_Wa_24,EMOBON00063,,ERS20568960,ERX13355950,,ERR13954855,,PRJEB51658,PRJEB51688,SAMEA115828443,NRMCB_Wa_210831,EMOBON_NRMCB_Wa_210831_3um_2
EMOBON_NRMCB_Wa_27,EMOBON00064,,ERS20568961,ERX13355951,,ERR13954856,,PRJEB51658,PRJEB51688,SAMEA115828444,NRMCB_Wa_210831,EMOBON_NRMCB_Wa_210831_3um_blank
EMOBON_OSD74_Wa_2,EMOBON00046,,ERS20569006,ERX13355350,,ERR13954255,,PRJEB51659,PRJEB51688,SAMEA115828489,OSD74_Wa_210831,EMOBON_OSD74_Wa_210831_0.2um_1
EMOBON_OSD74_Wa_4,EMOBON00047,,ERS20569007,ERX13355351,,ERR13954256,,PRJEB51659,PRJEB51688,SAMEA115828490,OSD74_Wa_210831,EMOBON_OSD74_Wa_210831_0.2um_2
EMOBON_OSD74_Wa_1,EMOBON00045,,ERS20569005,ERX13355349,,ERR13954254,,PRJEB51659,PRJEB51688,SAMEA115828488,OSD74_Wa_210831,EMOBON_OSD74_Wa_210831_3um_1
EMOBON_PiEGetxo_Wa_3,EMOBON00037,,ERS20569018,ERX13355825,,ERR13954730,,PRJEB51660,PRJEB51688,SAMEA115828501,PiEGetxo_Wa_210824,EMOBON_PiEGetxo_Wa_210824_0.2um_1
EMOBON_PiEGetxo_Wa_4,EMOBON00038,,ERS20569019,ERX13355826,,ERR13954731,,PRJEB51660,PRJEB51688,SAMEA115828502,PiEGetxo_Wa_210824,EMOBON_PiEGetxo_Wa_210824_0.2um_2
EMOBON_PiEGetxo_Wa_6,EMOBON00040,,ERS20569021,ERX13355828,,ERR13954733,,PRJEB51660,PRJEB51688,SAMEA115828504,PiEGetxo_Wa_210824,EMOBON_PiEGetxo_Wa_210824_0.2um_blank
EMOBON_PiEGetxo_Wa_1,EMOBON00035,,ERS20569016,ERX13355823,,ERR13954728,,PRJEB51660,PRJEB51688,SAMEA115828499,PiEGetxo_Wa_210824,EMOBON_PiEGetxo_Wa_210824_3um_1
EMOBON_PiEGetxo_Wa_2,EMOBON00036,,ERS20569017,ERX13355824,,ERR13954729,,PRJEB51660,PRJEB51688,SAMEA115828500,PiEGetxo_Wa_210824,EMOBON_PiEGetxo_Wa_210824_3um_2
EMOBON_PiEGetxo_Wa_5,EMOBON00039,,ERS20569020,ERX13355827,,ERR13954732,,PRJEB51660,PRJEB51688,SAMEA115828503,PiEGetxo_Wa_210824,EMOBON_PiEGetxo_Wa_210824_3um_blank
EMOBON_RFormosa_Wa_5,EMOBON00043,,ERS20568947,ERX13355735,,ERR13954640,,PRJEB51661,PRJEB51688,SAMEA115828430,RFormosa_Wa_210805,EMOBON_RFormosa_Wa_210805_0.2um_1
EMOBON_RFormosa_Wa_6,EMOBON00044,,ERS20568948,ERX13355736,,ERR13954641,,PRJEB51661,PRJEB51688,SAMEA115828431,RFormosa_Wa_210805,EMOBON_RFormosa_Wa_210805_0.2um_2
EMOBON_RFormosa_Wa_1,EMOBON00041,,ERS20568945,ERX13355733,,ERR13954638,,PRJEB51661,PRJEB51688,SAMEA115828428,RFormosa_Wa_210805,EMOBON_RFormosa_Wa_210805_3um_1
EMOBON_RFormosa_Wa_2,EMOBON00042,,ERS20568946,ERX13355734,,ERR13954639,,PRJEB51661,PRJEB51688,SAMEA115828429,RFormosa_Wa_210805,EMOBON_RFormosa_Wa_210805_3um_2
EMOBON_ROSKOGO_Wa_1,EMOBON00015,,ERS20568923,ERX13355908,,ERR13954813,,PRJEB51662,PRJEB51688,SAMEA115828406,ROSKOGO_Wa_210618,EMOBON_ROSKOGO_Wa_210618_3um_1
EMOBON_ROSKOGO_Wa_2,EMOBON00016,,ERS20568924,ERX13355909,,ERR13954814,,PRJEB51662,PRJEB51688,SAMEA115828407,ROSKOGO_Wa_210618,EMOBON_ROSKOGO_Wa_210618_3um_2
EMOBON_ROSKOGO_Wa_17,EMOBON00021,,ERS20568927,ERX13355912,,ERR13954817,,PRJEB51662,PRJEB51688,SAMEA115828410,ROSKOGO_Wa_210802,EMOBON_ROSKOGO_Wa_210802_0.2um_1
EMOBON_ROSKOGO_Wa_18,EMOBON00022,,ERS20568928,ERX13355913,,ERR13954818,,PRJEB51662,PRJEB51688,SAMEA115828411,ROSKOGO_Wa_210802,EMOBON_ROSKOGO_Wa_210802_0.2um_2
EMOBON_ROSKOGO_Wa_13,EMOBON00019,,ERS20568925,ERX13355910,,ERR13954815,,PRJEB51662,PRJEB51688,SAMEA115828408,ROSKOGO_Wa_210802,EMOBON_ROSKOGO_Wa_210802_3um_1
