ref_code,source_material_id_orig,source_material_id
EMOBON00451,EMOBON_NRMCB_So_220311_1,EMOBON_NRMCB_So_21
EMOBON00452,EMOBON_NRMCB_So_220311_2,EMOBON_NRMCB_So_22
EMOBON00453,EMOBON_NRMCB_So_220427_1,EMOBON_NRMCB_So_26
EMOBON00454,EMOBON_NRMCB_So_220427_2,EMOBON_NRMCB_So_27
EMOBON00455,EMOBON_NRMCB_So_230622_1,EMOBON_NRMCB_So_31
EMOBON00456,EMOBON_NRMCB_So_230622_2,EMOBON_NRMCB_So_32
EMOBON00457,EMOBON_NRMCB_So_030822_1,EMOBON_NRMCB_So_36
EMOBON00458,EMOBON_NRMCB_So_030822_2,EMOBON_NRMCB_So_37
EMOBON00459,EMOBON_OOB_So_220221_micro_1,EMOBON_OOB_So_29
EMOBON00460,EMOBON_OOB_So_220221_micro_2,EMOBON_OOB_So_30
EMOBON00461,EMOBON_OOB_So_220425_micro_1,EMOBON_OOB_So_34
EMOBON00462,EMOBON_OOB_So_220425_micro_2,EMOBON_OOB_So_35
EMOBON00463,EMOBON_OOB_So_220628_micro_1,EMOBON_OOB_So_47
EMOBON00464,EMOBON_OOB_So_220628_micro_2,EMOBON_OOB_So_48
EMOBON00465,EMOBON_OOB_So_220823_micro_1,EMOBON_OOB_So_56
EMOBON00466,EMOBON_OOB_So_220823_micro_2,EMOBON_OOB_So_57
EMOBON00467,EMOBON_OSD74_Wa_220225_0.2um_1,EMOBON_OSD74_Wa_31
EMOBON00468,EMOBON_OSD74_Wa_220225_0.2um_2,EMOBON_OSD74_Wa_32
EMOBON00469,EMOBON_OSD74_Wa_220225_3um_1,EMOBON_OSD74_Wa_33
EMOBON00470,EMOBON_OSD74_Wa_220225_3um_2,EMOBON_OSD74_Wa_34
EMOBON00471,EMOBON_OSD74_Wa_220420_0.2um_1,EMOBON_OSD74_Wa_41
EMOBON00472,EMOBON_OSD74_Wa_220420_0.2um_2,EMOBON_OSD74_Wa_42
EMOBON00473,EMOBON_OSD74_Wa_220420_3um_1,EMOBON_OSD74_Wa_43
EMOBON00474,EMOBON_OSD74_Wa_220420_3um_2,EMOBON_OSD74_Wa_44
EMOBON00475,EMOBON_OSD74_Wa_220614_0.2um_1,EMOBON_OSD74_Wa_51
EMOBON00476,EMOBON_OSD74_Wa_220614_0.2um_2,EMOBON_OSD74_Wa_52
